timestamp,jarak_mm,debit_lpm,ph_air,hujan_mm,asli_endapan_mm,asli_sumbatan
2025-01-01 00:00:00+00:00,1182.4,110.0,7.14,0.0,5.1,0.0
2025-01-01 00:15:00+00:00,1186.9,115.1,7.51,0.0,5.1,0.0
2025-01-01 00:30:00+00:00,1183.8,114.5,7.2,0.0,5.2,0.0
2025-01-01 00:45:00+00:00,1185.6,111.7,7.31,0.0,5.2,0.0
2025-01-01 01:00:00+00:00,1188.0,113.0,7.34,0.0,5.3,0.0
2025-01-01 01:15:00+00:00,1183.3,114.8,7.31,0.0,5.3,0.0
2025-01-01 01:30:00+00:00,1194.5,110.2,7.32,0.0,5.4,0.0
2025-01-01 01:45:00+00:00,1186.8,102.0,7.43,0.0,5.4,0.0
2025-01-01 02:00:00+00:00,1191.0,103.5,7.36,0.0,5.5,0.0
2025-01-01 02:15:00+00:00,1187.5,112.8,7.31,0.0,5.5,0.0
2025-01-01 02:30:00+00:00,1188.3,105.9,7.43,0.0,5.6,0.0
2025-01-01 02:45:00+00:00,1184.6,102.8,7.25,0.0,5.6,0.0
2025-01-01 03:00:00+00:00,1191.5,115.5,7.31,0.0,5.7,0.0
2025-01-01 03:15:00+00:00,1185.4,107.8,7.17,0.0,5.7,0.0
2025-01-01 03:30:00+00:00,1183.5,113.7,7.17,0.0,5.8,0.0
2025-01-01 03:45:00+00:00,1193.2,114.7,7.16,0.0,5.9,0.0
2025-01-01 04:00:00+00:00,1192.3,114.6,7.17,0.0,5.9,0.0
2025-01-01 04:15:00+00:00,1185.8,112.6,7.28,0.0,6.0,0.0
2025-01-01 04:30:00+00:00,1187.2,105.3,7.3,0.0,6.0,0.0
2025-01-01 04:45:00+00:00,1180.9,111.9,7.4,0.0,6.1,0.0
2025-01-01 05:00:00+00:00,1189.8,111.4,7.37,0.0,6.2,0.0
2025-01-01 05:15:00+00:00,1187.3,102.0,7.19,0.0,6.2,0.0
2025-01-01 05:30:00+00:00,1190.2,100.9,7.14,0.0,6.3,0.0
2025-01-01 05:45:00+00:00,1184.0,115.2,7.34,0.0,6.3,0.0
2025-01-01 06:00:00+00:00,1186.8,109.1,7.5,0.0,6.4,0.0
2025-01-01 06:15:00+00:00,1187.5,103.3,7.31,0.0,6.4,0.0
2025-01-01 06:30:00+00:00,1190.3,103.6,7.23,0.0,6.5,0.0
2025-01-01 06:45:00+00:00,1188.0,110.0,7.3,0.0,6.5,0.0
2025-01-01 07:00:00+00:00,1190.2,105.2,7.46,0.0,6.5,0.0
2025-01-01 07:15:00+00:00,1189.0,107.8,7.42,0.0,6.6,0.0
2025-01-01 07:30:00+00:00,1191.9,109.3,7.32,0.0,6.6,0.0
2025-01-01 07:45:00+00:00,1184.7,102.9,7.18,0.0,6.7,0.0
2025-01-01 08:00:00+00:00,1188.9,106.7,7.2,0.0,6.7,0.0
2025-01-01 08:15:00+00:00,1189.8,102.2,7.28,0.0,6.8,0.0
2025-01-01 08:30:00+00:00,1189.1,113.7,7.26,0.0,6.8,0.0
2025-01-01 08:45:00+00:00,1184.6,112.8,7.44,0.0,6.9,0.0
2025-01-01 09:00:00+00:00,1186.5,105.1,7.23,0.0,6.9,0.0
2025-01-01 09:15:00+00:00,1196.8,107.8,7.25,0.0,7.0,0.0
2025-01-01 09:30:00+00:00,1137.1,122.5,7.49,0.41,7.0,0.0
2025-01-01 09:45:00+00:00,1128.2,146.8,7.19,0.58,7.1,0.0
2025-01-01 10:00:00+00:00,1115.4,154.7,7.37,0.41,7.1,0.0
2025-01-01 10:15:00+00:00,1119.7,148.7,7.38,0.0,7.2,0.0
2025-01-01 10:30:00+00:00,1121.2,160.1,7.31,0.0,7.2,0.0
2025-01-01 10:45:00+00:00,1119.5,156.3,7.37,0.0,7.3,0.0
2025-01-01 11:00:00+00:00,1117.4,153.7,7.21,0.0,7.3,0.0
2025-01-01 11:15:00+00:00,1118.3,159.4,7.24,0.0,7.4,0.0
2025-01-01 11:30:00+00:00,1119.7,160.3,7.39,0.0,7.4,0.0
2025-01-01 11:45:00+00:00,1118.6,148.7,7.2,0.0,7.5,0.0
2025-01-01 12:00:00+00:00,1119.1,150.3,7.29,0.0,7.6,0.0
2025-01-01 12:15:00+00:00,1120.0,152.5,7.39,0.0,7.6,0.0
2025-01-01 12:30:00+00:00,1186.6,135.6,7.28,0.0,7.6,0.0
2025-01-01 12:45:00+00:00,1186.3,119.4,7.4,0.0,7.7,0.0
2025-01-01 13:00:00+00:00,1185.3,112.0,7.16,0.0,7.8,0.0
2025-01-01 13:15:00+00:00,1181.4,103.8,7.39,0.0,7.8,0.0
2025-01-01 13:30:00+00:00,1180.3,111.2,7.11,0.0,7.9,0.0
2025-01-01 13:45:00+00:00,1185.5,107.9,7.24,0.0,7.9,0.0
2025-01-01 14:00:00+00:00,1185.8,115.2,7.37,0.0,8.0,0.0
2025-01-01 14:15:00+00:00,1186.5,109.0,7.45,0.0,8.0,0.0
2025-01-01 14:30:00+00:00,1185.7,107.5,7.34,0.0,8.1,0.0
2025-01-01 14:45:00+00:00,1181.9,110.5,7.3,0.0,8.1,0.0
2025-01-01 15:00:00+00:00,1184.5,105.0,7.38,0.0,8.2,0.0
2025-01-01 15:15:00+00:00,1190.7,108.6,7.2,0.0,8.2,0.0
2025-01-01 15:30:00+00:00,1184.6,111.7,7.15,0.0,8.3,0.0
2025-01-01 15:45:00+00:00,1179.4,109.0,7.35,0.0,8.4,0.0
2025-01-01 16:00:00+00:00,1192.0,102.2,7.21,0.0,8.4,0.0
2025-01-01 16:15:00+00:00,1185.4,114.2,7.05,0.0,8.5,0.0
2025-01-01 16:30:00+00:00,1188.5,102.0,7.21,0.0,8.5,0.0
2025-01-01 16:45:00+00:00,1180.1,109.2,7.23,0.0,8.6,0.0
2025-01-01 17:00:00+00:00,1185.4,112.8,7.23,0.0,8.6,0.0
2025-01-01 17:15:00+00:00,1185.1,102.5,7.33,0.0,8.7,0.0
2025-01-01 17:30:00+00:00,1183.2,103.9,7.28,0.0,8.8,0.0
2025-01-01 17:45:00+00:00,1187.7,109.4,7.33,0.0,8.8,0.0
2025-01-01 18:00:00+00:00,1185.6,108.1,7.07,0.0,8.9,0.0
2025-01-01 18:15:00+00:00,1187.3,110.9,7.21,0.0,8.9,0.0
2025-01-01 18:30:00+00:00,1185.4,115.2,7.34,0.0,9.0,0.0
2025-01-01 18:45:00+00:00,1186.3,105.0,7.16,0.0,9.0,0.0
2025-01-01 19:00:00+00:00,1180.0,108.0,7.31,0.0,9.1,0.0
2025-01-01 19:15:00+00:00,1182.0,111.6,7.42,0.0,9.1,0.0
2025-01-01 19:30:00+00:00,1181.0,102.6,7.4,0.0,9.2,0.0
2025-01-01 19:45:00+00:00,1188.8,101.8,7.42,0.0,9.2,0.0
